sig,m,numcol,chi
F????,0,877,1
F???G,1,674,2
F???W,2,523,2
F?C?G,2,523,2
F??GW,3,372,3
F??OW,3,409,2
F???w,3,409,2
F??H_,3,409,2
FGC?G,3,409,2
F@?GW,4,295,3
F??Gw,4,295,3
F??Hg,4,322,2
F??@w,4,322,2
F??J_,4,322,2
F??go,4,322,2
F?@H_,4,322,2
F@?M?,4,322,2
FG?OW,4,322,2
F?COW,4,332,2
F??Ww,5,218,3
F?CZ?,5,235,3
F@?IW,5,235,3
F@?Gw,5,235,3
F??gw,5,235,3
F??Hw,5,235,3
F`?GW,5,235,3
F@GOW,5,252,3
F?DPO,5,255,2
F?o_g,5,255,2
F?GQW,5,255,2
F?@Hg,5,255,2
F?CeG,5,255,2
F??^?,5,255,2
F??ZO,5,255,2
F_GOW,5,255,2
F??N_,5,255,2
F??Bw,5,255,2
F??Jg,5,255,2
FGCOW,5,262,2
F??Xo,5,262,2
F?CWw,6,141,4
F?CXW,6,175,3
FG?Ww,6,175,3
F??Xw,6,175,3
F@?Hw,6,175,3
FJ?GW,6,175,3
F@MAG,6,188,3
F`?Gw,6,188,3
F??Jw,6,188,3
F@@Gw,6,188,3
F??ZW,6,188,3
F?C^?,6,188,3
F@?Iw,6,188,3
F@?MW,6,188,3
F?Ogw,6,188,3
F?D_w,6,188,3
F_?gw,6,188,3
F?D`o,6,188,3
F?Dco,6,188,3
F@?gw,6,192,3
F?GZ_,6,201,3
F`GOW,6,201,3
FCO_w,6,203,2
F@IQO,6,203,2
F?G]_,6,203,2
F?_ZG,6,203,2
F?AZO,6,203,2
F?GUW,6,203,2
F??^O,6,203,2
F?HSo,6,203,2
F??^G,6,203,2
F??Fw,6,203,2
F??Ng,6,203,2
FI?go,6,204,2
F@G]?,6,208,2
F?@Xo,6,208,2
F?DPW,6,208,2
F??Zo,6,208,2
F?Opo,6,208,2
FG?[o,6,208,2
F??xo,6,219,2
F?CXw,7,115,4
FGCWw,7,115,4
F??xw,7,132,3
F?GXw,7,132,3
F?D`w,7,141,3
F?CZW,7,141,3
F?@Xw,7,141,3
F@?Jw,7,141,3
F?GYw,7,141,3
F??Zw,7,141,3
FG?[w,7,141,3
FG?Xw,7,141,3
FGC^?,7,141,3
F?opg,7,141,3
F?DXo,7,141,3
FGD_w,7,141,3
FGC[W,7,141,3
FGCXW,7,141,3
F`?Hw,7,141,3
F@GWw,7,149,3
FI?gw,7,150,3
FCDHW,7,151,3
F?StG,7,151,3
F@`@w,7,151,3
F@`J_,7,151,3
F@OsW,7,151,3
F?C~?,7,151,3
F?C}O,7,151,3
FCOpW,7,151,3
F??Nw,7,151,3
F?C^G,7,151,3
F@@Kw,7,151,3
F?G]W,7,151,3
F?G]g,7,151,3
F@?Mw,7,151,3
F?AZW,7,151,3
F?Dcw,7,151,3
F??^W,7,151,3
F?Ddo,7,151,3
F?GZg,7,154,3
F?Dbo,7,154,3
F`?gw,7,154,3
F?WXg,7,154,3
F@Ogw,7,154,3
FwCOW,7,154,3
F?G^_,7,161,3
F_GZ_,7,161,3
F@Aio,7,161,3
F@IQW,7,161,3
FoDPO,7,162,3
F?Sv?,7,163,2
FG@Xo,7,163,3
F??^o,7,166,2
F??}o,7,166,2
F?Cmg,7,166,2
F?Oto,7,166,2
F@O\G,7,166,2
F?O|_,7,166,2
F?db_,7,166,2
F?SsW,7,166,2
F?KuG,7,166,2
FGDHg,7,170,2
F_?xo,7,174,2
F?Oxo,7,174,2
F??zo,7,174,2
F?Cxw,8,89,4
F?DXw,8,94,4
FGCXw,8,94,4
FGC[w,8,94,4
FWCWw,8,94,4
F?CZw,8,94,4
F@GXw,8,106,3
FGCZW,8,107,3
F?HXw,8,107,3
F?Oxw,8,107,3
F_GXw,8,107,3
FAChw,8,107,3
F_?xw,8,107,3
F?Dbw,8,107,3
F?GZw,8,107,3
F??zw,8,107,3
Fw?Ww,8,107,3
FGDXo,8,112,3
F??^w,8,114,3
F?G]w,8,114,3
F??}w,8,114,3
FG?\w,8,114,3
F?C^W,8,114,3
F?Ddw,8,114,3
F@?Nw,8,114,3
FPCYW,8,114,3
F?`Xw,8,114,3
F?C~G,8,114,3
FAG[w,8,114,3
F`BHo,8,114,3
FGC\W,8,114,3
FGC^G,8,114,3
F`?Jw,8,114,3
F?C}o,8,114,3
F?O|g,8,114,3
F@`Jg,8,114,3
FA_hw,8,114,3
F@`Hw,8,114,3
F?C}W,8,114,3
F?org,8,114,3
F?opw,8,114,3
F?hPw,8,114,3
FAClW,8,114,3
F@K]G,8,114,3
F@pHg,8,114,3
FgCXW,8,114,3
FACjW,8,116,3
FG@Xw,8,116,3
F?SrW,8,116,3
FASpW,8,116,3
FHGWw,8,120,3
F?Czo,8,120,3
F@GYw,8,120,3
F`GWw,8,120,3
FGoXg,8,121,3
FI_gw,8,121,3
F@DNG,8,121,3
F_G^_,8,121,3
F?xPg,8,121,3
Fq?gw,8,122,3
F`Ogw,8,124,3
F?G^g,8,124,3
FoD_w,8,124,3
F?Dfo,8,124,3
FDHGw,8,124,3
F?Dlo,8,124,3
F@Aiw,8,124,3
F_WXg,8,124,3
F?Fbo,8,124,3
F?C~O,8,124,3
F@MQW,8,124,3
F@G]W,8,124,3
F@DLW,8,124,3
F?StW,8,124,3
F?YRg,8,124,3
FCOjg,8,124,3
F@QJg,8,124,3
F?Sz_,8,125,3
F`AZO,8,129,3
F?Djo,8,129,3
F?O~_,8,131,3
F?oz_,8,131,3
FG`Xo,8,131,3
FoDPW,8,132,3
Fo@Xo,8,134,2
F@oZG,8,136,2
F?df_,8,136,2
FAG^G,8,136,2
F_?zo,8,139,2
F@IYo,8,139,2
F?O|o,8,139,2
F?KuW,8,139,2
F??~o,8,139,2
F?Azo,8,139,2
F_Oxo,8,139,2
FAOxo,8,145,2
F?@zo,8,149,2
F?Kxw,9,63,4
F?Sxw,9,73,4
FwCWw,9,73,4
F?Czw,9,73,4
FGCZw,9,73,4
FGCxw,9,73,4
F_Cxw,9,73,4
F?C}w,9,77,4
FOCyw,9,77,4
FGC\w,9,77,4
FWCYw,9,77,4
F@N@w,9,77,4
F?dXw,9,77,4
F?C^w,9,77,4
FGDXw,9,78,4
F?Ozw,9,82,3
F?Srw,9,82,3
FAHXw,9,82,3
F?@zw,9,82,3
F?XXw,9,82,3
F?Lpw,9,86,3
F@GZw,9,86,3
F`GXw,9,86,3
F?G^w,9,87,3
F?Azw,9,87,3
F?Dfw,9,87,3
FGeZ_,9,87,3
F@hPw,9,87,3
F??~w,9,87,3
FIGXw,9,87,3
FPDIw,9,87,3
F_Oxw,9,87,3
F?Miw,9,87,3
F@ouW,9,87,3
F?K}W,9,87,3
FAEhw,9,87,3
F@NAw,9,87,3
F@C}W,9,87,3
FAClw,9,87,3
F?dbw,9,87,3
FCOxw,9,87,3
F@O{w,9,87,3
FOPXw,9,87,3
FGEZo,9,87,3
F`?Nw,9,87,3
F@RHw,9,87,3
F?C~W,9,87,3
F`BHw,9,87,3
F?Fbw,9,87,3
F_?zw,9,87,3
F?O|w,9,87,3
F@`Jw,9,87,3
F?H\w,9,87,3
FGC^W,9,87,3
F_GZw,9,87,3
FGC}o,9,91,3
FGCzo,9,91,3
FGSsw,9,91,3
FYCXW,9,91,3
F@HYw,9,91,3
F@Diw,9,91,3
Fo@Xw,9,92,3
FCUrO,9,92,3
FB_mW,9,92,3
F@hUW,9,92,3
FWEYo,9,93,3
F@`Ng,9,94,3
F?O~g,9,94,3
FACnW,9,94,3
F?SvW,9,94,3
F?ovg,9,94,3
FAIZo,9,94,3
FG`Xw,9,94,3
F@P\W,9,94,3
FAG}o,9,94,3
FGE^O,9,94,3
F`G]W,9,94,3
FHEIw,9,94,3
F@YQw,9,94,3
F@hQw,9,94,3
FWC]W,9,94,3
FJ_gw,9,94,3
F?NRo,9,94,3
FGQXw,9,94,3
F?W}g,9,94,3
F?ozg,9,94,3
FJOgw,9,96,3
FCS~?,9,97,3
F`GYw,9,97,3
FhGWw,9,97,3
F?C~o,9,97,3
F@G]w,9,97,3
FGC|o,9,97,3
FODZo,9,97,3
F?Ezo,9,97,3
F?Lto,9,97,3
F@IYw,9,97,3
F@Dkw,9,97,3
F?K~_,9,97,3
FCdrO,9,99,3
F?NVO,9,99,3
FAI^O,9,99,3
FGM]_,9,100,3
F?Lro,9,100,3
F?Luo,9,101,3
FALcw,9,101,3
FIEho,9,101,3
F?S~_,9,101,3
FKdPW,9,102,3
F`AZW,9,102,3
FGcuW,9,102,3
FQG]W,9,102,3
F_KuW,9,104,3
F?YZg,9,104,3
F?dro,9,104,3
F?P|o,9,104,3
F@`Zo,9,104,3
F?Ffo,9,104,3
F?Dno,9,104,3
F?Dzo,9,104,3
F?dn_,9,106,3
FCUj_,9,107,3
F_Azo,9,109,3
FK`Xo,9,110,3
F?ur_,9,112,2
F@FNO,9,114,2
F@H]o,9,116,2
FI_xo,9,116,2
F?@~o,9,119,2
F?`zo,9,119,2
FIOxo,9,125,2
F@Kxw,10,37,5
F_Kxw,10,52,4
F?Kzw,10,52,4
F@Kyw,10,52,4
FASxw,10,57,4
F?Dzw,10,57,4
FGCzw,10,57,4
F?Szw,10,57,4
FAK|W,10,60,4
F@K}W,10,60,4
FWCZw,10,60,4
FgCxw,10,60,4
F?S|w,10,60,4
F?K}w,10,60,4
F_Kyw,10,60,4
F`N@w,10,60,4
F@MYw,10,60,4
FGC^w,10,60,4
F?C~w,10,60,4
F?Ezw,10,60,4
FGEZw,10,60,4
F_Czw,10,60,4
FGC|w,10,60,4
FIGZw,10,62,4
FGSxw,10,62,4
FoDXw,10,63,4
FGdXw,10,64,4
FWC]w,10,64,4
FWDXw,10,64,4
FGC}w,10,64,4
F@XXw,10,66,3
F?Lrw,10,66,3
FKDhw,10,67,3
F@FJw,10,67,3
FCDjw,10,67,3
F?S~W,10,67,3
F?djw,10,67,3
F@NEw,10,67,3
F_oxw,10,67,3
F`FHw,10,67,3
FAS|W,10,67,3
FCSzW,10,67,3
F?O~w,10,67,3
F?dfw,10,67,3
F?Svw,10,67,3
F_G^w,10,67,3
FCOzw,10,67,3
FAIZw,10,67,3
F?P|w,10,67,3
F?`zw,10,67,3
F@O}w,10,67,3
FGE^W,10,67,3
F?Ffw,10,67,3
FPDJw,10,67,3
F?@~w,10,67,3
FTPHw,10,67,3
F`GZw,10,70,3
FII[w,10,70,3
F@Miw,10,70,3
FwDXo,10,70,3
F?Mzo,10,70,3
F?K~g,10,70,3
F@pto,10,70,3
FHFKw,10,70,3
F_Lpw,10,70,3
F?Ltw,10,70,3
F@G^w,10,70,3
F`hPw,10,71,3
FIHXw,10,71,3
FIIXw,10,71,3
FIG\w,10,71,3
FHFHw,10,71,3
FANbo,10,71,3
FPO]w,10,72,3
F@YUw,10,72,3
FCO~W,10,72,3
F_Azw,10,72,3
FAhto,10,72,3
F?dvW,10,72,3
F`QXw,10,72,3
F@NUW,10,72,3
FDPkw,10,72,3
F_hXw,10,72,3
FANTW,10,72,3
FCDnW,10,72,3
FKHXw,10,74,3
FI_xw,10,74,3
FPHYw,10,74,3
F@Dmw,10,74,3
F?szg,10,74,3
F@H]w,10,74,3
F_K~_,10,74,3
F@pro,10,74,3
F?S~g,10,74,3
F@NJg,10,74,3
F@NN_,10,74,3
FHDkw,10,74,3
F`G]w,10,74,3
FAK}W,10,74,3
FAczW,10,74,3
FDHZW,10,74,3
FGD|o,10,74,3
FGE^o,10,74,3
FGC~o,10,74,3
FGDzo,10,75,3
F?\pw,10,75,3
F@Vdo,10,75,3
FqSpW,10,76,3
F_Ezo,10,77,3
FBJKw,10,77,3
FANcw,10,77,3
FAMn_,10,77,3
FBFLW,10,77,3
FCXto,10,77,3
F_Lto,10,78,3
FDZ@w,10,78,3
FSXPw,10,78,3
FGS~_,10,78,3
F?o~g,10,79,3
F?luW,10,79,3
FCXsw,10,79,3
F?NVo,10,79,3
FAJ\o,10,79,3
FAI^o,10,79,3
FgC|o,10,80,3
F`IYw,10,80,3
F`Dkw,10,80,3
FIOxw,10,80,3
F?Lvo,10,81,3
FHH[w,10,81,3
FCXro,10,81,3
F@H}o,10,81,3
FGL\g,10,81,3
F@h^_,10,82,3
FoSz_,10,83,3
FODzo,10,84,3
F?D~o,10,84,3
F?dzo,10,84,3
F@Fmo,10,84,3
FAYto,10,85,3
FANLg,10,87,3
FQO|o,10,87,3
F?`~o,10,89,3
FqOxo,10,91,3
F?lv_,10,97,2
F@J]o,10,99,2
F?\v_,10,100,2
F?B~o,10,104,2
F`Kxw,11,31,5
F@Kzw,11,31,5
F?Lzw,11,41,4
FGDzw,11,41,4
FAKzw,11,41,4
FAK|w,11,43,4
F`Kyw,11,43,4
F?K~w,11,43,4
F?Mzw,11,43,4
F@K}w,11,43,4
F_Kzw,11,43,4
F@Mzo,11,43,4
FIKxw,11,46,4
FGSzw,11,46,4
FCSzw,11,47,4
F@L]w,11,47,4
FwCZw,11,47,4
F`K}W,11,47,4
FPLYw,11,47,4
FGE^w,11,47,4
F?D~w,11,47,4
FODzw,11,47,4
FGD|w,11,47,4
FGC~w,11,47,4
F@ozw,11,47,4
FOSzw,11,47,4
FGczw,11,47,4
FgCzw,11,47,4
F_K}w,11,47,4
F?S~w,11,47,4
F@NFw,11,47,4
F?dzw,11,47,4
F?Uzw,11,47,4
FaK|W,11,49,4
FwDXw,11,50,4
FKdXw,11,50,4
FOL]w,11,50,4
FgC|w,11,50,4
FWD\w,11,50,4
F_Ezw,11,50,4
FHMYw,11,51,4
FgSxw,11,51,4
FISxw,11,51,4
F@L}o,11,51,4
FANbw,11,51,4
FAK~W,11,51,4
FIG^w,11,51,4
FGS|w,11,51,4
F?B~w,11,52,3
FQMiw,11,52,3
F@hVw,11,52,3
FAJ\w,11,52,3
FAI^w,11,52,3
F?`~w,11,52,3
FCLmw,11,52,3
F@FNw,11,52,3
F?dnw,11,52,3
F?qzw,11,52,3
FGdtw,11,52,3
F@NMw,11,52,3
F`o~_,11,53,4
FEMjW,11,53,4
FDLiw,11,54,3
F`XXw,11,54,3
FqHXw,11,54,3
F?lrw,11,54,3
F_Lrw,11,54,3
F?Lvw,11,54,3
F_K~g,11,54,3
F@H}w,11,54,3
F@S~W,11,54,3
F@X\w,11,54,3
F`G^w,11,54,3
F@djw,11,54,3
F@o~g,11,54,4
F?\rw,11,55,3
FDLmW,11,55,3
FIMkw,11,55,3
FALzo,11,55,3
FhFHw,11,55,3
FHFLw,11,55,3
FII\w,11,55,3
FoSrw,11,56,3
F_Mzo,11,56,3
F@luW,11,57,3
FC]rW,11,57,3
FCUzo,11,57,3
FDdjW,11,57,3
FAg~g,11,57,3
F@pvo,11,57,3
FI_|w,11,57,3
FAMng,11,57,3
F?luw,11,57,3
F@J]w,11,57,3
F@Fmw,11,57,3
FH`\w,11,57,3
F@NNg,11,57,3
F@Y]w,11,57,3
FCS~W,11,57,3
F`NJg,11,57,3
FAW~g,11,58,3
FHpXw,11,58,3
FiIXw,11,58,3
F`Miw,11,58,3
FAwzg,11,58,3
F_Ltw,11,58,3
FoS~_,11,59,3
FpHYw,11,59,3
F@Nmo,11,59,3
FINTW,11,60,3
FJQkw,11,60,3
FCL~O,11,60,3
FANfo,11,60,3
FgEzo,11,60,3
F?L~o,11,61,3
F?\tw,11,61,3
FpDiw,11,61,3
F@pzo,11,61,3
FBW{w,11,61,3
F_\pw,11,61,3
FGD~o,11,61,3
FaMjg,11,61,3
FDTlW,11,62,3
F@U~O,11,62,3
F?lvg,11,62,3
F_Nro,11,62,3
FCXvo,11,62,3
F@h^g,11,62,3
FQMZW,11,63,3
FQK}W,11,63,3
F`dn_,11,64,3
FCdzo,11,64,3
F@`~o,11,64,3
F?N^o,11,64,3
F?\vg,11,65,3
F?|rg,11,65,3
FIJ\o,11,65,3
FIoxw,11,65,3
F_]rg,11,66,3
F?l~_,11,67,3
F`YZg,11,68,3
F?Nvo,11,69,3
FoDzo,11,70,3
FC\tW,11,70,3
F_lv_,11,72,3
F?F~o,11,74,3
FINLg,11,75,3
FIQ|o,11,85,2
F@Lzw,12,25,5
F@Mzw,12,26,5
F@K~w,12,26,5
F`Kzw,12,26,5
FALzw,12,30,4
F?\zw,12,30,4
F@pzw,12,34,4
F_K~w,12,34,4
F?\|w,12,34,4
F?L~w,12,34,4
FCXzw,12,34,4
FPLZw,12,34,4
FGD~w,12,34,4
F@L}w,12,34,4
F`LZw,12,34,4
FAK~w,12,34,4
F@dzw,12,34,4
F@Uzw,12,34,4
F`K}w,12,34,4
FwC^w,12,34,4
F`Mzo,12,35,4
FIKzw,12,35,4
F_Mzw,12,36,4
FaK|w,12,36,4
F`ozw,12,37,4
FQS|w,12,37,4
FCS~w,12,37,4
FAN\w,12,37,4
F?F~w,12,37,4
F@`~w,12,37,4
F@N]w,12,37,4
F@qzw,12,37,4
F?uzw,12,37,4
F@o~w,12,37,4
F?d~w,12,37,4
FGc~w,12,37,4
FAh|w,12,37,4
FgC~w,12,37,4
FAYzw,12,38,4
FqSxw,12,38,4
FGS~w,12,38,4
F@L~o,12,38,4
FELjw,12,38,4
FKSzw,12,38,4
FiKxw,12,38,4
FIK|w,12,38,4
FoSzw,12,39,4
Fgczw,12,39,4
FIc|w,12,40,4
FIiZw,12,40,4
FEW|w,12,40,4
FHM]w,12,40,4
FoDzw,12,40,4
FgEzw,12,40,4
FOL}w,12,40,4
FeKzW,12,40,4
FaK~W,12,40,4
F`o~g,12,40,4
FChzw,12,40,4
FANfw,12,40,4
FoSvw,12,41,3
FA]tw,12,42,3
F@luw,12,42,3
F@Nmw,12,42,3
FQL^W,12,42,3
F@h}w,12,42,3
FDlrW,12,42,3
F@h^w,12,42,3
F?lvw,12,42,3
F_Lvw,12,42,3
F?Nvw,12,42,3
F_Nrw,12,42,3
FYSxw,12,42,4
FkSxw,12,42,4
FHL]w,12,42,4
FwdXw,12,42,4
FqhXw,12,42,4
F`luW,12,43,4
F@l~_,12,43,4
FGurw,12,43,4
FELnW,12,43,4
FJXXw,12,44,3
FBqng,12,44,3
F_lrw,12,44,3
FdSzW,12,44,3
F@N^o,12,44,4
F?\~g,12,45,3
F?\vw,12,45,3
FKszg,12,45,3
FIJ\w,12,45,3
FAL~o,12,45,3
FElrW,12,45,3
FBW}w,12,45,3
FJW{w,12,45,3
FAlvW,12,45,3
FC\rw,12,45,3
FBNNW,12,45,3
FIM^W,12,45,3
FsXXw,12,45,4
FKS~W,12,46,3
F`djw,12,46,3
Folqw,12,47,3
FCxvg,12,47,3
FBY\w,12,47,3
FKdzo,12,47,3
F?l~g,12,47,3
F_L~o,12,47,3
F@p~o,12,47,3
FAM~o,12,47,3
Fqoxw,12,48,3
FDxZg,12,48,3
FMhXw,12,49,3
FQo~g,12,49,3
FQluW,12,49,3
FANno,12,50,3
FBdnW,12,50,3
FC|rg,12,50,3
F@rvo,12,50,3
FIQ|w,12,50,3
FEhzo,12,51,3
FC\vW,12,51,3
Fc\pw,12,51,3
F_}rg,12,52,3
FDhzo,12,53,3
Fqdhw,12,53,3
FGF~o,12,54,3
F?N~o,12,54,3
F?^vo,12,55,3
FMoxw,12,56,3
Fo\sw,12,60,3
F?~v_,12,75,2
F@\zw,13,19,5
F@\|w,13,21,5
F@L~w,13,21,5
F`Lzw,13,21,5
F`K~w,13,21,5
F`Mzw,13,22,5
FILzw,13,24,4
FAlzw,13,25,4
FC\zw,13,25,4
FHdzw,13,25,4
FAL~w,13,25,4
F?\~w,13,25,4
F?N~w,13,27,4
F_L~w,13,27,4
F@p~w,13,27,4
F?l~w,13,27,4
F@N^w,13,27,4
F@lvw,13,27,4
FGF~w,13,27,4
FC\|w,13,27,4
FDYzw,13,27,4
F@l}w,13,27,4
F`o~w,13,27,4
F@d~w,13,27,4
F`L^w,13,27,4
FKdzw,13,27,4
F`NZw,13,27,4
FpLZw,13,28,4
FoS~w,13,29,4
F_lzw,13,29,4
FIK~w,13,29,4
FEhzw,13,29,4
FHL}w,13,29,4
FiKzw,13,29,4
FIL|w,13,29,4
F`Uzw,13,29,4
FcLzw,13,29,4
FGuzw,13,30,4
FDhzw,13,30,4
F@l~g,13,30,4
FKS~w,13,30,4
FKUzw,13,30,4
FELnw,13,30,4
FEYzw,13,30,4
F@rvw,13,30,4
F`L~o,13,30,4
FAY~w,13,30,4
FTXZw,13,30,4
F`qzw,13,30,4
FpL]w,13,31,4
FdW}w,13,32,4
FRh]w,13,32,4
F[Szw,13,32,4
FPp}w,13,32,4
F_lvw,13,32,4
FiK|w,13,32,4
FHN]w,13,33,4
FIN\w,13,33,4
FXT\w,13,33,4
FENjw,13,33,4
FySxw,13,33,4
F`N^o,13,33,4
FQqzw,13,34,3
F`dnw,13,34,3
FXd]w,13,34,4
F@N~o,13,34,4
F`l~_,13,34,4
FdlrW,13,34,4
F?^vw,13,35,3
FRX\w,13,35,3
FC^rw,13,35,3
F@^uw,13,35,3
FBZ\w,13,35,3
FPT~o,13,35,3
FC\vw,13,35,3
FFhmw,13,35,4
FSpzw,13,35,4
FQl~_,13,35,4
FP^Uw,13,36,3
FIL~o,13,36,3
F@^vo,13,36,4
FCx~g,13,37,3
FDZ^o,13,37,3
FPV^o,13,37,3
FqLzo,13,37,3
FIM~o,13,39,3
FS\rw,13,39,3
FD^vO,13,39,3
F@r~o,13,40,3
F?~rw,13,40,3
FAN~o,13,40,3
F@vvo,13,40,3
FRY]w,13,41,3
FS\~_,13,41,3
F?~vg,13,45,3
Fdhzo,13,45,3
F@~v_,13,50,3
FB\zw,14,13,5
FD\zw,14,16,5
F@\~w,14,16,5
F`\zw,14,16,5
F`L~w,14,17,5
F@l~w,14,17,5
F@N~w,14,17,5
FDlzw,14,17,5
F`\|w,14,18,5
FElzw,14,20,4
F`N^w,14,20,4
FAN~w,14,20,4
FK\|w,14,20,4
FC\~w,14,20,4
FAl~w,14,20,4
FBxzw,14,20,4
FIL~w,14,20,4
FPT~w,14,20,4
F?^~w,14,20,4
F@r~w,14,20,4
F`lvw,14,21,4
FqLzw,14,21,4
FKuzw,14,22,4
FTX^w,14,22,4
FDZ^w,14,22,4
FS\zw,14,22,4
F_l~w,14,22,4
F`U~w,14,22,4
FDxzw,14,22,4
FI]|w,14,23,4
FHt|w,14,23,4
FIM~w,14,23,4
FHN^w,14,23,4
FiK~w,14,23,4
FhNZw,14,23,4
FdYzw,14,23,4
F`l~g,14,24,4
Fclzw,14,24,4
FRqzw,14,24,4
FTpzw,14,24,4
FD^fw,14,24,4
FiMzw,14,25,4
F@vvw,14,25,4
FKl~g,14,25,4
FEl~W,14,25,4
F`N~o,14,26,4
F{Szw,14,26,4
F@~rw,14,26,4
Fdhzw,14,26,4
F`^vo,14,27,4
FDx~g,14,27,4
FqL~o,14,27,4
FJZ\w,14,28,3
FIm~g,14,29,3
FS\vw,14,29,3
FD^vW,14,29,3
F}hXw,14,29,4
F?~vw,14,30,3
FDZ~o,14,30,3
FC~rw,14,30,3
F@~vg,14,30,4
FBzvo,14,31,3
FIN~o,14,32,3
Fs\rw,14,35,3
F}oxw,14,35,3
FJ\zw,15,7,6
FJ\|w,15,11,5
FB\~w,15,11,5
F@^~w,15,13,5
FD\~w,15,13,5
F`\~w,15,13,5
F`N~w,15,13,5
FJ]|w,15,13,5
Fd\zw,15,14,5
F`l~w,15,14,5
FQl~w,15,15,4
FEl~w,15,15,4
F@v~w,15,15,4
F?~~w,15,15,4
FDZ~w,15,15,4
Fdlzw,15,15,5
FMlzw,15,16,4
FqL~w,15,16,4
FBx~w,15,16,4
FIN~w,15,16,4
FIm~w,15,17,4
FT\}w,15,17,4
FHu~w,15,17,4
FhN^w,15,17,4
FFxzw,15,18,4
Fqlzw,15,18,4
F{S~w,15,18,4
Fhuzw,15,19,4
FiM~w,15,19,4
F@~vw,15,20,4
FJz\w,15,20,4
Fs\zw,15,20,4
F`~rw,15,20,4
FD^~o,15,20,4
Fimzw,15,21,4
F{dzw,15,21,4
Frqzw,15,21,4
FqN~o,15,22,4
FI~tw,15,24,3
Fs\vw,15,25,3
F]qzw,15,25,3
FJ\~w,16,6,6
FR\~w,16,9,5
FB^~w,16,9,5
F@~~w,16,10,5
Fr\zw,16,10,5
FT\~w,16,10,5
FD^~w,16,10,5
F`^~w,16,10,5
FqN~w,16,11,5
Fd\~w,16,11,5
FMl~w,16,12,4
FBz~w,16,12,4
Fj]|w,16,12,5
Fql~w,16,13,4
F]\|w,16,14,4
F`~vw,16,14,4
FFx~w,16,14,4
Fs\~w,16,15,4
F\^]w,16,15,4
FMn~o,16,16,4
FF~vW,16,20,3
FJ^~w,17,5,6
FJn~w,17,7,5
F`~~w,17,7,5
FB~~w,17,7,5
Fr\~w,17,8,5
Fd^~w,17,8,5
Ft\~w,17,9,5
FR~vw,17,10,4
FFz~w,17,10,4
F}lzw,17,12,4
FJ~~w,18,4,6
FR~~w,18,5,5
FF~~w,18,5,5
Fr^~w,18,6,5
F}l~w,18,8,4
FN~~w,19,3,6
Fr~~w,19,4,5
F^~~w,20,2,6
F~~~w,21,1,7
