m,numcol,chi,mult
0,4140,1,1
1,3263,2,1
2,2589,2,2
3,1915,3,1
3,2066,2,4
4,1543,3,2
4,1657,2,8
4,1694,2,1
5,1171,3,1
5,1248,3,6
5,1325,3,1
5,1335,2,14
5,1362,2,2
6,799,4,1
6,953,3,5
6,1013,3,15
6,1030,3,1
6,1073,3,2
6,1080,2,23
6,1083,2,1
6,1100,2,7
6,1144,2,1
7,658,4,2
7,735,3,2
7,778,3,17
7,812,3,1
7,821,3,1
7,825,3,33
7,838,3,6
7,872,3,6
7,876,3,1
7,877,2,23
7,879,2,2
7,881,3,1
7,892,2,16
7,908,2,1
7,925,2,3
8,517,4,1
8,543,4,6
8,594,3,1
8,603,3,10
8,629,3,1
8,637,3,47
8,646,3,4
8,663,3,4
8,671,3,7
8,674,3,44
8,675,3,1
8,684,3,24
8,689,3,1
8,706,3,1
8,709,3,1
8,711,3,10
8,714,3,1
8,715,2,1
8,716,2,5
8,718,3,4
8,722,3,1
8,726,2,28
8,729,2,1
8,738,2,5
8,751,2,10
8,776,2,1
8,793,2,1
9,376,4,1
9,428,4,6
9,449,4,13
9,454,4,1
9,471,3,5
9,488,3,3
9,496,3,44
9,497,3,1
9,514,3,3
9,517,3,4
9,521,3,4
9,523,3,85
9,525,3,1
9,530,3,26
9,540,3,1
9,543,3,15
9,546,3,1
9,550,3,22
9,552,3,1
9,553,3,5
9,555,3,3
9,557,3,1
9,559,3,1
9,560,3,60
9,564,3,5
9,568,3,4
9,574,3,1
9,577,3,9
9,579,3,1
9,580,3,3
9,582,3,1
9,587,2,1
9,587,3,13
9,589,3,1
9,590,3,5
9,592,3,1
9,593,3,1
9,594,2,1
9,595,2,4
9,602,2,14
9,602,3,1
9,606,3,1
9,612,2,19
9,613,2,1
9,622,2,1
9,631,2,3
9,644,2,3
9,670,2,1
10,235,5,1
10,313,4,3
10,339,4,4
10,355,4,22
10,365,4,2
10,371,4,1
10,372,4,19
10,376,4,6
10,382,3,2
10,389,3,32
10,402,3,10
10,405,3,4
10,408,3,1
10,409,3,109
10,410,3,5
10,414,3,12
10,423,3,22
10,425,3,2
10,426,3,14
10,429,3,25
10,430,3,2
10,431,3,5
10,432,3,4
10,434,3,1
10,436,3,102
10,439,3,6
10,443,3,3
10,444,3,2
10,446,3,33
10,448,3,6
10,449,3,3
10,450,3,1
10,451,3,4
10,452,3,3
10,453,3,1
10,456,3,20
10,457,3,6
10,458,3,6
10,459,3,7
10,460,3,1
10,461,3,3
10,463,3,17
10,464,3,1
10,466,3,23
10,468,3,1
10,470,3,4
10,473,3,33
10,477,3,2
10,478,3,1
10,480,3,1
10,481,3,1
10,483,3,4
10,486,3,6
10,488,3,3
10,490,3,1
10,493,3,3
10,495,2,1
10,495,3,1
10,496,2,2
10,496,3,4
10,498,3,1
10,500,2,3
10,501,2,3
10,502,2,1
10,503,2,1
10,506,3,1
10,508,2,8
10,515,2,9
10,525,2,7
10,531,2,1
10,540,2,1
10,545,2,2
10,562,2,1
11,198,5,2
11,250,4,3
11,261,4,10
11,276,4,2
11,282,4,25
11,293,4,1
11,295,4,49
11,298,4,6
11,302,4,1
11,303,4,9
11,307,3,12
11,308,4,5
11,309,4,1
11,312,4,18
11,314,4,2
11,316,3,14
11,318,3,1
11,319,3,2
11,319,4,1
11,322,3,118
11,323,3,5
11,327,3,2
11,332,3,35
11,335,3,24
11,336,3,2
11,337,3,18
11,338,3,5
11,339,3,22
11,342,3,95
11,343,3,2
11,344,3,1
11,348,3,5
11,349,3,82
11,350,3,8
11,351,3,1
11,352,3,11
11,353,3,1
11,354,3,1
11,355,3,7
11,356,3,4
11,357,3,22
11,358,3,5
11,359,3,9
11,360,3,1
11,361,3,3
11,362,3,41
11,364,3,22
11,365,3,14
11,366,3,11
11,368,3,2
11,369,3,40
11,371,3,4
11,372,3,21
11,373,3,2
11,374,3,1
11,376,3,22
11,377,3,4
11,378,3,1
11,379,3,6
11,380,3,1
11,381,3,3
11,382,3,7
11,383,3,1
11,384,3,4
11,385,3,5
11,386,3,22
11,388,3,2
11,389,3,9
11,391,3,1
11,392,3,7
11,394,3,9
11,395,3,3
11,399,3,13
11,401,3,1
11,403,3,1
11,404,3,2
11,405,3,1
11,406,3,8
11,409,3,2
11,411,3,1
11,413,3,1
11,415,3,3
11,416,3,1
11,418,2,1
11,418,3,1
11,420,3,1
11,421,3,1
11,423,2,1
11,424,2,2
11,426,3,1
11,428,2,2
11,429,2,2
11,434,2,4
11,436,2,1
11,441,2,4
11,445,2,4
11,458,2,2
11,465,2,1
12,161,5,1
12,167,5,5
12,187,4,2
12,209,4,19
12,213,4,1
12,215,4,1
12,218,4,19
12,220,4,2
12,225,4,14
12,230,4,9
12,231,4,1
12,235,4,89
12,236,4,2
12,241,4,12
12,244,4,6
12,245,3,1
12,245,4,6
12,246,4,1
12,248,4,40
12,250,3,11
12,251,4,3
12,252,4,31
12,255,3,83
12,255,4,1
12,256,3,1
12,257,4,4
12,258,4,3
12,259,4,1
12,261,3,3
12,261,4,8
12,262,3,48
12,262,4,6
12,264,3,12
12,265,3,21
12,265,4,7
12,266,3,7
12,267,3,6
12,268,3,38
12,268,4,1
12,269,3,2
12,270,3,55
12,271,3,9
12,274,3,2
12,275,3,120
12,276,3,3
12,277,3,3
12,278,3,18
12,279,3,17
12,280,3,11
12,281,3,11
12,282,3,8
12,283,3,2
12,284,3,16
12,285,3,39
12,286,3,7
12,287,3,16
12,288,3,29
12,289,3,26
12,290,3,23
12,291,3,19
12,292,3,29
12,293,3,1
12,294,3,1
12,295,3,50
12,296,3,2
12,297,3,3
12,298,3,11
12,299,3,3
12,300,3,8
12,301,3,6
12,302,3,32
12,303,3,3
12,304,3,9
12,305,3,8
12,306,3,17
12,307,3,11
12,308,3,5
12,309,3,7
12,310,3,3
12,311,3,7
12,312,3,14
12,313,3,1
12,314,3,7
12,315,3,9
12,316,3,4
12,317,3,7
12,318,3,8
12,320,3,3
12,321,3,1
12,322,3,9
12,324,3,5
12,325,3,12
12,326,3,2
12,327,3,2
12,329,3,2
12,330,3,1
12,331,3,3
12,332,3,2
12,334,3,4
12,337,3,5
12,339,3,3
12,340,3,2
12,342,3,3
12,343,3,1
12,345,3,4
12,349,3,1
12,354,2,1
12,354,3,1
12,356,3,1
12,360,3,1
12,362,2,1
12,366,2,1
12,367,2,1
12,370,2,1
12,371,2,2
12,372,2,1
12,377,2,1
12,380,2,4
12,384,2,1
12,406,2,1
12,410,2,1
13,124,5,1
13,136,5,6
13,141,5,7
13,142,5,1
13,150,4,1
13,157,4,7
13,168,4,15
13,174,4,1
13,175,4,58
13,178,4,5
13,179,4,5
13,180,4,3
13,182,4,2
13,183,4,1
13,184,4,24
13,188,4,95
13,190,4,1
13,192,4,28
13,193,4,3
13,195,4,18
13,196,4,2
13,197,4,13
13,198,4,38
13,200,4,6
13,201,4,80
13,202,4,1
13,203,3,39
13,204,3,4
13,204,4,2
13,205,4,3
13,206,4,5
13,208,3,71
13,208,4,17
13,209,3,7
13,209,4,14
13,210,3,6
13,210,4,14
13,211,3,1
13,211,4,12
13,212,3,3
13,212,4,9
13,213,3,35
13,214,3,1
13,214,4,20
13,215,3,12
13,216,3,2
13,216,4,1
13,217,3,20
13,217,4,1
13,218,3,75
13,218,4,8
13,219,3,25
13,219,4,3
13,220,3,24
13,221,3,42
13,221,4,2
13,222,3,3
13,222,4,1
13,223,3,13
13,223,4,3
13,224,3,19
13,225,3,19
13,225,4,2
13,226,3,11
13,227,3,4
13,228,3,81
13,228,4,1
13,229,3,8
13,230,3,37
13,231,3,6
13,232,3,6
13,233,3,44
13,234,3,21
13,235,3,23
13,236,3,11
13,237,3,16
13,238,3,27
13,239,3,2
13,240,3,12
13,241,3,37
13,242,3,16
13,243,3,10
13,244,3,21
13,245,3,16
13,246,3,8
13,247,3,4
13,248,3,10
13,249,3,3
13,250,3,17
13,251,3,5
13,252,3,7
13,253,3,11
13,254,3,1
13,255,3,21
13,256,3,4
13,257,3,2
13,258,3,5
13,259,3,4
13,260,3,4
13,261,3,8
13,262,3,6
13,263,3,2
13,264,3,6
13,265,3,7
13,267,3,2
13,268,3,1
13,269,3,3
13,270,3,5
13,271,3,1
13,272,3,3
13,273,3,1
13,274,3,4
13,275,3,2
13,277,3,1
13,278,3,2
13,280,3,6
13,281,3,1
13,282,3,1
13,285,3,4
13,286,3,1
13,287,3,1
13,295,3,3
13,296,3,1
13,302,3,1
13,305,3,1
13,313,2,1
13,320,2,1
13,324,2,1
13,325,2,1
13,330,2,1
13,335,2,2
14,87,5,1
14,105,5,4
14,111,5,4
14,115,5,15
14,117,5,1
14,119,5,1
14,120,5,4
14,126,4,3
14,127,4,9
14,132,4,20
14,133,4,2
14,138,4,7
14,141,4,91
14,143,4,6
14,144,4,1
14,145,4,4
14,146,4,10
14,147,4,1
14,148,4,23
14,149,4,21
14,150,4,28
14,151,4,58
14,152,4,1
14,154,4,81
14,155,4,9
14,156,4,3
14,157,4,4
14,158,4,25
14,159,4,11
14,160,4,5
14,161,4,87
14,162,4,12
14,163,3,2
14,163,4,36
14,164,4,1
14,165,4,9
14,166,3,49
14,166,4,7
14,167,4,36
14,168,3,2
14,168,4,31
14,169,4,11
14,170,3,9
14,170,4,2
14,171,3,3
14,171,4,40
14,172,3,1
14,172,4,22
14,173,3,33
14,173,4,1
14,174,3,56
14,174,4,10
14,175,3,2
14,175,4,2
14,176,3,49
14,176,4,26
14,177,4,3
14,178,3,31
14,178,4,9
14,179,3,13
14,179,4,5
14,180,3,7
14,180,4,8
14,181,3,51
14,181,4,5
14,182,3,5
14,182,4,8
14,183,3,51
14,184,3,15
14,184,4,4
14,185,3,18
14,185,4,3
14,186,3,22
14,187,3,3
14,187,4,1
14,188,3,30
14,188,4,1
14,189,3,11
14,189,4,2
14,190,3,17
14,190,4,1
14,191,3,44
14,191,4,1
14,192,3,7
14,193,3,25
14,194,3,23
14,195,3,12
14,195,4,1
14,196,3,16
14,197,3,3
14,198,3,17
14,199,3,18
14,200,3,11
14,201,3,17
14,202,3,5
14,203,3,8
14,204,3,6
14,205,3,10
14,206,3,11
14,207,3,5
14,208,3,11
14,209,3,6
14,210,3,3
14,211,3,4
14,212,3,3
14,213,3,1
14,214,3,4
14,215,3,10
14,216,3,6
14,217,3,1
14,219,3,1
14,220,3,6
14,221,3,4
14,222,3,1
14,223,3,2
14,224,3,1
14,225,3,2
14,226,3,1
14,227,3,1
14,228,3,4
14,230,3,1
14,231,3,1
14,235,3,5
14,239,3,2
14,240,3,1
14,245,3,3
14,250,3,1
14,260,3,1
14,279,2,1
14,285,2,1
14,290,2,1
15,50,6,1
15,74,5,3
15,86,5,5
15,89,5,11
15,92,5,2
15,94,5,20
15,97,4,5
15,97,5,1
15,98,5,7
15,99,5,5
15,102,4,3
15,102,5,1
15,103,4,1
15,103,5,1
15,106,4,8
15,107,4,53
15,108,4,4
15,110,4,2
15,111,4,1
15,112,4,15
15,113,4,1
15,114,4,77
15,115,4,1
15,116,4,34
15,117,4,3
15,118,4,11
15,119,4,11
15,120,4,41
15,121,4,63
15,122,4,3
15,123,4,3
15,124,4,94
15,125,4,29
15,126,4,17
15,127,4,3
15,128,4,28
15,129,4,42
15,130,4,14
15,131,4,68
15,132,4,20
15,133,4,11
15,134,3,2
15,134,4,65
15,135,4,6
15,136,3,16
15,136,4,16
15,137,4,17
15,138,4,50
15,139,3,49
15,139,4,16
15,140,3,5
15,140,4,10
15,141,3,9
15,141,4,39
15,142,3,2
15,142,4,10
15,143,3,14
15,143,4,6
15,144,3,15
15,144,4,17
15,145,3,19
15,145,4,8
15,146,3,39
15,146,4,12
15,147,3,3
15,147,4,11
15,148,3,12
15,148,4,3
15,149,3,30
15,149,4,6
15,150,3,5
15,150,4,5
15,151,3,26
15,151,4,8
15,152,3,8
15,152,4,4
15,153,3,15
15,153,4,3
15,154,3,33
15,154,4,3
15,155,3,6
15,155,4,4
15,156,3,28
15,156,4,1
15,157,3,2
15,157,4,1
15,158,3,28
15,159,3,9
15,160,3,2
15,160,4,1
15,161,3,18
15,162,3,4
15,162,4,1
15,163,3,2
15,164,3,13
15,165,3,5
15,166,3,8
15,167,3,5
15,168,3,6
15,169,3,3
15,170,3,14
15,171,3,6
15,172,3,4
15,173,3,5
15,174,3,5
15,175,3,4
15,176,3,2
15,177,3,1
15,178,3,1
15,179,3,3
15,180,3,3
15,182,3,1
15,184,3,1
15,185,3,7
15,186,3,2
15,189,3,1
15,190,3,1
15,194,3,1
15,200,3,2
15,204,3,1
15,205,3,1
15,210,3,1
15,215,3,1
15,250,2,1
15,260,2,1
16,43,6,2
16,61,5,2
16,63,5,7
16,67,5,5
16,73,5,29
16,75,5,1
16,76,5,4
16,77,5,15
16,78,4,2
16,78,5,9
16,79,5,2
16,80,5,2
16,81,5,11
16,82,4,18
16,83,5,3
16,84,4,1
16,84,5,2
16,85,5,2
16,86,4,15
16,86,5,1
16,87,4,72
16,88,4,1
16,89,4,4
16,90,4,9
16,91,4,38
16,92,4,20
16,93,4,2
16,94,4,74
16,95,4,9
16,96,4,12
16,97,4,53
16,98,4,14
16,99,4,31
16,100,4,23
16,101,4,69
16,102,4,19
16,103,4,16
16,104,4,87
16,105,4,11
16,106,4,21
16,107,4,34
16,108,4,33
16,109,4,38
16,110,4,16
16,111,4,45
16,112,3,9
16,112,4,17
16,113,4,18
16,114,3,8
16,114,4,22
16,115,4,13
16,116,3,23
16,116,4,14
16,117,3,3
16,117,4,20
16,118,3,1
16,118,4,8
16,119,3,29
16,119,4,9
16,120,3,13
16,120,4,9
16,121,3,8
16,121,4,13
16,122,3,7
16,122,4,4
16,123,3,10
16,123,4,5
16,124,3,13
16,124,4,3
16,125,3,10
16,125,4,4
16,126,3,11
16,126,4,5
16,127,3,7
16,128,3,7
16,128,4,1
16,129,3,13
16,130,3,4
16,130,4,3
16,131,3,7
16,131,4,1
16,132,3,4
16,132,4,1
16,133,3,4
16,134,3,13
16,134,4,1
16,135,3,10
16,135,4,1
16,136,3,2
16,137,3,3
16,138,3,3
16,139,3,4
16,140,3,3
16,141,3,3
16,144,3,4
16,145,3,5
16,149,3,3
16,150,3,3
16,154,3,1
16,155,3,2
16,156,3,1
16,165,3,2
16,175,3,1
16,185,3,1
16,225,2,1
17,36,6,1
17,37,6,3
17,48,5,3
17,52,5,11
17,53,5,1
17,54,5,4
17,57,5,18
17,60,5,31
17,61,5,1
17,62,5,10
17,63,5,9
17,64,5,17
17,65,4,2
17,66,4,10
17,66,5,2
17,67,4,39
17,67,5,8
17,68,5,8
17,69,4,1
17,69,5,2
17,70,4,27
17,70,5,2
17,71,4,15
17,71,5,2
17,72,4,32
17,72,5,1
17,73,4,2
17,74,4,60
17,75,4,23
17,76,4,9
17,77,4,40
17,78,4,24
17,79,4,28
17,80,4,30
17,81,4,42
17,82,4,22
17,83,4,13
17,84,4,64
17,85,4,20
17,86,4,10
17,87,4,26
17,88,4,35
17,89,4,20
17,90,4,27
17,91,4,18
17,92,3,1
17,92,4,16
17,93,4,14
17,94,4,17
17,95,3,1
17,95,4,8
17,96,3,8
17,96,4,11
17,97,3,9
17,97,4,7
17,98,3,1
17,98,4,5
17,99,3,12
17,99,4,4
17,100,3,11
17,100,4,7
17,101,3,3
17,101,4,3
17,102,3,5
17,102,4,2
17,103,3,1
17,104,3,10
17,104,4,3
17,105,3,6
17,105,4,2
17,106,3,3
17,108,3,6
17,109,3,2
17,109,4,1
17,110,3,6
17,111,3,2
17,111,4,1
17,113,3,1
17,114,3,5
17,115,3,2
17,115,4,1
17,118,3,1
17,120,3,4
17,125,3,1
17,130,3,1
17,135,3,2
17,150,3,1
18,29,6,1
18,31,6,4
18,32,6,1
18,35,5,2
18,41,5,12
18,43,5,12
18,44,5,1
18,45,5,3
18,46,5,8
18,47,5,34
18,48,5,1
18,49,5,4
18,50,5,16
18,51,5,19
18,52,4,16
18,52,5,3
18,53,5,12
18,54,4,22
18,54,5,6
18,55,4,14
18,55,5,9
18,56,4,5
18,56,5,4
18,57,4,29
18,57,5,2
18,58,4,18
18,58,5,1
18,59,4,11
18,59,5,2
18,60,4,22
18,60,5,1
18,61,4,26
18,61,5,1
18,62,4,23
18,63,4,16
18,64,4,32
18,65,4,29
18,66,4,11
18,67,4,27
18,68,4,26
18,69,4,16
18,70,4,21
18,71,4,11
18,72,4,14
18,73,4,14
18,74,4,17
18,75,4,11
18,76,4,8
18,77,4,4
18,78,4,3
18,79,4,6
18,80,3,4
18,80,4,5
18,81,4,3
18,82,3,6
18,83,3,1
18,83,4,1
18,84,3,5
18,84,4,1
18,85,3,6
18,85,4,4
18,86,3,1
18,87,3,1
18,88,3,1
18,89,3,3
18,90,3,2
18,94,3,1
18,95,3,1
18,100,3,3
18,100,4,1
18,105,3,2
19,22,6,1
19,25,6,3
19,26,6,4
19,27,6,1
19,28,5,1
19,30,5,5
19,34,5,20
19,35,5,6
19,36,5,7
19,37,5,19
19,38,5,17
19,39,5,3
19,40,5,19
19,41,4,1
19,41,5,4
19,42,4,15
19,42,5,15
19,43,5,13
19,44,4,6
19,44,5,5
19,45,4,19
19,45,5,5
19,46,4,5
19,46,5,6
19,47,4,19
19,47,5,2
19,48,4,8
19,48,5,1
19,49,4,11
19,49,5,1
19,50,4,21
19,51,4,10
19,51,5,1
19,52,4,19
19,53,4,14
19,54,4,13
19,55,4,11
19,56,4,13
19,57,4,2
19,58,4,11
19,59,4,6
19,60,4,15
19,62,4,2
19,63,4,1
19,64,4,3
19,65,4,4
19,68,3,2
19,70,3,4
19,70,4,2
19,74,3,1
19,75,3,4
19,80,3,1
20,15,6,1
20,19,6,3
20,21,6,5
20,22,6,2
20,23,6,1
20,24,5,2
20,25,5,7
20,26,5,1
20,27,5,19
20,28,5,1
20,29,5,13
20,30,5,16
20,31,5,6
20,32,5,9
20,33,5,11
20,34,4,3
20,34,5,10
20,35,4,9
20,35,5,6
20,36,4,4
20,36,5,4
20,37,4,6
20,37,5,3
20,38,4,1
20,38,5,2
20,39,4,8
20,39,5,2
20,40,4,15
20,40,5,1
20,41,4,8
20,42,4,4
20,43,4,2
20,44,4,8
20,45,4,6
20,46,4,5
20,47,4,1
20,48,4,3
20,49,4,3
20,50,4,6
20,55,4,1
20,58,3,1
20,60,3,2
21,8,7,1
21,13,6,2
21,16,6,4
21,17,6,6
21,18,6,1
21,19,6,1
21,20,5,12
21,21,5,2
21,22,5,9
21,23,5,9
21,24,5,6
21,25,5,7
21,26,5,7
21,27,5,5
21,28,4,2
21,28,5,4
21,29,4,4
21,29,5,2
21,30,4,5
21,30,5,4
21,31,4,2
21,32,4,4
21,33,5,1
21,34,4,4
21,35,4,5
21,36,4,2
21,38,4,1
21,40,4,2
21,50,3,1
22,7,7,1
22,11,6,2
22,12,6,1
22,13,6,5
22,14,6,2
22,15,5,5
22,15,6,2
22,16,5,4
22,16,6,1
22,17,5,4
22,18,5,4
22,19,5,2
22,20,5,7
22,21,5,4
22,22,5,2
22,24,4,2
22,24,5,1
22,25,4,3
22,26,4,1
22,28,4,2
22,30,4,1
23,6,7,1
23,9,6,2
23,10,6,5
23,11,6,2
23,12,5,2
23,12,6,1
23,13,5,1
23,14,5,3
23,15,5,2
23,16,5,2
23,18,5,1
23,20,4,2
24,5,7,1
24,7,6,3
24,8,6,2
24,9,6,1
24,10,5,2
24,12,5,1
24,16,4,1
25,4,7,1
25,5,6,2
25,6,6,1
25,8,5,1
26,3,7,1
26,4,6,1
27,2,7,1
28,1,8,1
